Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.55     31.32     0.25 50545296     0.00     0.00  std::map<arti::MatchOutcome, int, std::less<arti::MatchOutcome>, std::allocator<std::pair<arti::MatchOutcome const, int> > >::end()
  0.53     31.56     0.24 91201950     0.00     0.00  std::_Rb_tree_const_iterator<std::pair<std::string const, arti::Region> >::operator*() const
  0.53     31.80     0.24 48438369     0.00     0.00  std::_Rb_tree<arti::Square, arti::Square, std::_Identity<arti::Square>, std::less<arti::Square>, std::allocator<arti::Square> >::begin() const
  0.53     32.04     0.24 45600975     0.00     0.00  AnnotatedClassifier::value_of(AnnotatedData const&, std::pair<std::string, arti::Piece> const&)
  0.53     32.28     0.24 25266318     0.00     0.00  std::_List_iterator<AnnotatedData>::operator++(int)
  0.53     32.52     0.24  2837519     0.00     0.00  std::_Rb_tree<arti::Square, arti::Square, std::_Identity<arti::Square>, std::less<arti::Square>, std::allocator<arti::Square> >::_M_erase(std::_Rb_tree_node<arti::Square>*)
  0.51     32.75     0.23 45601000     0.00     0.00  std::_Rb_tree_const_iterator<std::pair<std::string const, arti::Region> >::operator==(std::_Rb_tree_const_iterator<std::pair<std::string const, arti::Region> > const&) const
  0.51     32.98     0.23 45600975     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, arti::Region>, std::_Select1st<std::pair<std::string const, arti::Region> >, std::less<std::string>, std::allocator<std::pair<std::string const, arti::Region> > >::lower_bound(std::string const&) const
  0.49     33.20     0.22 67677133     0.00     0.00  std::_Rb_tree<int, std::pair<int const, std::list<AnnotatedData, std::allocator<AnnotatedData> > >, std::_Select1st<std::pair<int const, std::list<AnnotatedData, std::allocator<AnnotatedData> > > >, std::less<int>, std::allocator<std::pair<int const, std::list<AnnotatedData, std::allocator<AnnotatedData> > > > >::_S_key(std::_Rb_tree_node<std::pair<int const, std::list<AnnotatedData, std::allocator<AnnotatedData> > > > const*)
  0.44     33.40     0.20 140923902     0.00     0.00  arti::Square&& std::forward<arti::Square>(std::remove_reference<arti::Square>::type&)
  0.44     33.60     0.20 91201950     0.00     0.00  std::_List_base<AnnotatedData, std::allocator<AnnotatedData> >::_M_get_Node_allocator()
  0.44     33.80     0.20 50540234     0.00     0.00  std::_Rb_tree<arti::MatchOutcome, std::pair<arti::MatchOutcome const, int>, std::_Select1st<std::pair<arti::MatchOutcome const, int> >, std::less<arti::MatchOutcome>, std::allocator<std::pair<arti::MatchOutcome const, int> > >::lower_bound(arti::MatchOutcome const&)
  0.44     34.00     0.20 45601650     0.00     0.00  std::_Fwd_list_iterator<AnnotatedData>::operator!=(std::_Fwd_list_iterator<AnnotatedData> const&) const
  0.44     34.20     0.20 45601002     0.00     0.00  AnnotatedClassifier::program() const
  0.44     34.40     0.20 25266318     0.00     0.00  AnnotatedClassifier::class_of(AnnotatedData const&)
  0.44     34.60     0.20 20131986     0.00     0.00  std::set<arti::Square, std::less<arti::Square>, std::allocator<arti::Square> >::insert(arti::Square&&)
  0.42     34.79     0.19 101068269     0.00     0.00  std::_Rb_tree<arti::MatchOutcome, std::pair<arti::MatchOutcome const, int>, std::_Select1st<std::pair<arti::MatchOutcome const, int> >, std::less<arti::MatchOutcome>, std::allocator<std::pair<arti::MatchOutcome const, int> > >::_S_key(std::_Rb_tree_node<std::pair<arti::MatchOutcome const, int> > const*)
  0.42     34.98     0.19 62760954     0.00     0.00  arti::Square::operator<(arti::Square const&) const
  0.42     35.17     0.19 45601650     0.00     0.00  std::_Rb_tree_iterator<std::pair<int const, std::list<AnnotatedData, std::allocator<AnnotatedData> > > >::operator==(std::_Rb_tree_iterator<std::pair<int const, std::list<AnnotatedData, std::allocator<AnnotatedData> > > > const&) const
  0.42     35.36     0.19 45601002     0.00     0.00  arti::FeatureProgram::regions() const
  0.42     35.55     0.19 45601000     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, arti::Region>, std::_Select1st<std::pair<std::string const, arti::Region> >, std::less<std::string>, std::allocator<std::pair<std::string const, arti::Region> > >::_M_begin() const
  0.42     35.74     0.19 20131986     0.00     0.00  std::_Rb_tree_node<arti::Square>::_Rb_tree_node<arti::Square>(arti::Square&&)
  0.40     35.92     0.18 91337064     0.00     0.00  std::_Fwd_list_node<AnnotatedData>::_M_valptr()
  0.40     36.10     0.18 45602256     0.00     0.00  std::list<AnnotatedData, std::allocator<AnnotatedData> >::begin()
  0.40     36.28     0.18 22969693     0.00     0.00  arti::Square::Square(unsigned short, unsigned short)
  0.38     36.45     0.17 62760954     0.00     0.00  std::less<arti::Square>::operator()(arti::Square const&, arti::Square const&) const
  0.38     36.62     0.17 45601026     0.00     0.00  std::map<std::string, arti::Region, std::less<std::string>, std::allocator<std::pair<std::string const, arti::Region> > >::end() const
  0.38     36.79     0.17 45600975     0.00     0.00  std::_Rb_tree<int, std::pair<int const, std::list<AnnotatedData, std::allocator<AnnotatedData> > >, std::_Select1st<std::pair<int const, std::list<AnnotatedData, std::allocator<AnnotatedData> > > >, std::less<int>, std::allocator<std::pair<int const, std::list<AnnotatedData, std::allocator<AnnotatedData> > > > >::lower_bound(int const&)
  0.35     36.95     0.16 114914509     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, arti::Region>, std::_Select1st<std::pair<std::string const, arti::Region> >, std::less<std::string>, std::allocator<std::pair<std::string const, arti::Region> > >::_S_left(std::_Rb_tree_node_base const*)
  0.35     37.11     0.16 45602630     0.00     0.00  std::_Rb_tree<int, std::pair<int const, std::list<AnnotatedData, std::allocator<AnnotatedData> > >, std::_Select1st<std::pair<int const, std::list<AnnotatedData, std::allocator<AnnotatedData> > > >, std::less<int>, std::allocator<std::pair<int const, std::list<AnnotatedData, std::allocator<AnnotatedData> > > > >::end()
  0.35     37.27     0.16 45600975     0.00     0.00  AnnotatedData::AnnotatedData(AnnotatedData const&)
  0.33     37.42     0.15 51073405     0.00     0.00  std::_Rb_tree_iterator<arti::Square>::_Rb_tree_iterator(std::_Rb_tree_node<arti::Square>*)
  0.33     37.57     0.15 45603537     0.00     0.00  std::_List_iterator<AnnotatedData>::_List_iterator(std::__detail::_List_node_base*)
  0.33     37.72     0.15 45601002     0.00     0.00  std::unique_ptr<arti::FeatureProgram, std::default_delete<arti::FeatureProgram> >::operator*() const
  0.33     37.87     0.15 40264485     0.00     0.00  std::_Rb_tree<arti::Square, arti::Square, std::_Identity<arti::Square>, std::less<arti::Square>, std::allocator<arti::Square> >::_M_end()
  0.31     38.01     0.14 111266432     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, arti::Region>, std::_Select1st<std::pair<std::string const, arti::Region> >, std::less<std::string>, std::allocator<std::pair<std::string const, arti::Region> > >::_S_right(std::_Rb_tree_node_base const*)
  0.31     38.15     0.14 50545296     0.00     0.00  std::_Rb_tree<arti::MatchOutcome, std::pair<arti::MatchOutcome const, int>, std::_Select1st<std::pair<arti::MatchOutcome const, int> >, std::less<arti::MatchOutcome>, std::allocator<std::pair<arti::MatchOutcome const, int> > >::end()
  0.29     38.28     0.13 50541889     0.00     0.00  std::_Rb_tree_iterator<std::pair<arti::MatchOutcome const, int> >::operator==(std::_Rb_tree_iterator<std::pair<arti::MatchOutcome const, int> > const&) const
  0.29     38.41     0.13 50540234     0.00     0.00  std::map<arti::MatchOutcome, int, std::less<arti::MatchOutcome>, std::allocator<std::pair<arti::MatchOutcome const, int> > >::lower_bound(arti::MatchOutcome const&)
  0.29     38.54     0.13 45600975     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<AnnotatedData> >::allocate(unsigned int, void const*)
  0.29     38.67     0.13 45600975     0.00     0.00  std::map<int, std::list<AnnotatedData, std::allocator<AnnotatedData> >, std::less<int>, std::allocator<std::pair<int const, std::list<AnnotatedData, std::allocator<AnnotatedData> > > > >::lower_bound(int const&)
  0.29     38.80     0.13 39386019     0.00     0.00  std::_Rb_tree<arti::Square, arti::Square, std::_Identity<arti::Square>, std::less<arti::Square>, std::allocator<arti::Square> >::_S_left(std::_Rb_tree_node_base*)
  0.29     38.93     0.13 22699152     0.00     0.00  arti::Region::add(arti::Square const&, int, int)
  0.27     39.05     0.12 101073256     0.00     0.00  std::_Select1st<std::pair<arti::MatchOutcome const, int> >::operator()(std::pair<arti::MatchOutcome const, int> const&) const
  0.27     39.17     0.12 50544967     0.00     0.00  std::_Rb_tree<arti::MatchOutcome, std::pair<arti::MatchOutcome const, int>, std::_Select1st<std::pair<arti::MatchOutcome const, int> >, std::less<arti::MatchOutcome>, std::allocator<std::pair<arti::MatchOutcome const, int> > >::_M_begin()
  0.27     39.29     0.12 45600975     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<AnnotatedData> >::max_size() const
  0.27     39.41     0.12 45600975     0.00     0.00  std::list<AnnotatedData, std::allocator<AnnotatedData> >::push_front(AnnotatedData const&)
  0.24     39.52     0.11 101068269     0.00     0.00  std::_Rb_tree<arti::MatchOutcome, std::pair<arti::MatchOutcome const, int>, std::_Select1st<std::pair<arti::MatchOutcome const, int> >, std::less<arti::MatchOutcome>, std::allocator<std::pair<arti::MatchOutcome const, int> > >::_S_value(std::_Rb_tree_node<std::pair<arti::MatchOutcome const, int> > const*)
  0.24     39.63     0.11 48438369     0.00     0.00  std::set<arti::Square, std::less<arti::Square>, std::allocator<arti::Square> >::begin() const
  0.24     39.74     0.11 45604631     0.00     0.00  std::_Rb_tree<int, std::pair<int const, std::list<AnnotatedData, std::allocator<AnnotatedData> > >, std::_Select1st<std::pair<int const, std::list<AnnotatedData, std::allocator<AnnotatedData> > > >, std::less<int>, std::allocator<std::pair<int const, std::list<AnnotatedData, std::allocator<AnnotatedData> > > > >::_M_end()
  0.24     39.85     0.11 45600975     0.00     0.00  std::_List_base<AnnotatedData, std::allocator<AnnotatedData> >::_M_put_node(std::_List_node<AnnotatedData>*)
  0.24     39.96     0.11 45599583     0.00     0.00  std::map<int, std::list<AnnotatedData, std::allocator<AnnotatedData> >, std::less<int>, std::allocator<std::pair<int const, std::list<AnnotatedData, std::allocator<AnnotatedData> > > > >::key_comp() const
  0.24     40.07     0.11 22699152     0.00     0.00  arti::Square::in_bounds(unsigned short, unsigned short)
  0.24     40.18     0.11 20131986     0.00     0.00  _ZN9__gnu_cxx13new_allocatorISt13_Rb_tree_nodeIN4arti6SquareEEE9constructIS4_IS3_EEEvPT_DpOT0_
  0.22     40.28     0.10 100659930     0.00     0.00  std::iterator<std::forward_iterator_tag, arti::Square, int, arti::Square*, arti::Square&>::iterator()
